,Episodes,Total Reward,Epsilon,Buffer Size,Learn Step Counter,Moving Average
231,231,738.0,0.9825738701124636,70350,70319,
232,232,628.0,0.9825542188291155,70430,70399,
233,233,250.0,0.9825461127892332,70463,70432,
234,234,638.0,0.9825100048785563,70610,70579,
235,235,238.0,0.9825009167019068,70647,70616,
236,236,248.0,0.9824923198554212,70682,70651,
237,237,675.0,0.982410530764076,71015,70984,
238,238,243.0,0.9824021803090093,71049,71018,
239,239,247.0,0.9823948123193648,71079,71048,
240,240,247.0,0.9823867075945808,71112,71081,
241,241,754.0,0.9823135225018873,71410,71379,
242,242,590.0,0.9820581541534039,72450,72419,
243,243,245.0,0.9820505432312492,72481,72450,
244,244,678.0,0.9819336861551149,72957,72926,
245,245,251.0,0.9819246033093895,72994,72963,
246,246,244.0,0.9819172389015597,73024,72993,
247,247,915.0,0.9817260291150137,73803,73772,
248,248,982.0,0.9816175543685621,74245,74214,
249,249,638.0,0.9815812351864145,74393,74362,
250,250,240.0,0.9815728917803309,74427,74396,
251,251,235.0,0.9815643030540288,74462,74431,
252,252,243.0,0.9815557144028777,74497,74466,
253,253,532.0,0.9812654621871827,75680,75649,
254,254,627.0,0.981240194923687,75783,75752,
255,255,626.0,0.981218117264913,75873,75842,
256,256,967.0,0.9810886050052242,76401,76370,
257,257,1250.0,0.9809470931630296,76978,76947,
258,258,774.0,0.980909327422212,77132,77101,
259,259,230.0,0.9808997636016966,77171,77140,
260,260,639.0,0.9808649422738135,77313,77282,
261,261,930.0,0.9806947769473034,78007,77976,
262,262,611.0,0.9806705050489027,78106,78075,
263,263,612.0,0.9806506466697572,78187,78156,
264,264,224.0,0.9806401047306492,78230,78199,
265,265,626.0,0.9805896030593653,78436,78405,
266,266,232.0,0.9805797972111371,78476,78445,
267,267,663.0,0.980458703068745,78970,78939,
268,268,593.0,0.980433701687457,79072,79041,
269,269,536.0,0.9801180528182084,80360,80329,
270,270,1048.0,0.9797270636737272,81956,81925,
271,271,618.0,0.9797033055775282,82053,82022,
272,272,751.0,0.9796317898376277,82345,82314,
273,273,443.0,0.9791408723880022,84350,84319,
274,274,767.0,0.9790476136497546,84731,84700,
275,275,794.0,0.9789864250784069,84981,84950,
276,276,579.0,0.9789587690990802,85094,85063,
277,277,837.0,0.9786717314930707,86267,86236,
278,278,616.0,0.978636010622311,86413,86382,
279,279,240.0,0.9786274475936099,86448,86417,
280,280,680.0,0.9785246970932497,86868,86837,
281,281,626.0,0.9785029251582287,86957,86926,
282,282,637.0,0.9784652535160797,87111,87080,
283,283,632.0,0.9784427490712347,87203,87172,
284,284,805.0,0.9783955403416044,87396,87365,
285,285,599.0,0.9783590957819499,87545,87514,
286,286,637.0,0.978322163418565,87696,87665,
287,287,596.0,0.9782668897709104,87922,87891,
288,288,1525.0,0.9780257766708197,88908,88877,
289,289,240.0,0.9780177079904357,88941,88910,
290,290,663.0,0.9779096429908811,89383,89352,
291,291,633.0,0.9778671048412994,89557,89526,
292,292,1277.0,0.9777439013326555,90061,90030,
293,293,1019.0,0.9776832830823722,90309,90278,
294,294,592.0,0.9776502868242539,90444,90413,
295,295,238.0,0.9776422212416489,90477,90446,
296,296,636.0,0.9776036051317505,90635,90604,
297,297,229.0,0.9775943179404539,90673,90642,
298,298,705.0,0.9774254530870193,91364,91333,
299,299,630.0,0.9774019951547062,91460,91429,
300,300,760.0,0.97734628482177,91688,91657,
301,301,1022.0,0.9769498069579774,93311,93280,
302,302,659.0,0.9768438136408994,93745,93714,
303,303,592.0,0.9768071826801388,93895,93864,
304,304,1118.0,0.9765097901361101,95113,95082,
305,305,609.0,0.9764885512764901,95200,95169,
306,306,607.0,0.9764621864382333,95308,95277,
307,307,249.0,0.9764548629983815,95338,95307,
308,308,682.0,0.9763523406074563,95758,95727,
309,309,635.0,0.9763132872900164,95918,95887,
310,310,731.0,0.9761763689359642,96479,96448,
311,311,637.0,0.9761387868645166,96633,96602,
312,312,1556.0,0.9759460184664933,97423,97392,
313,313,241.0,0.9759369910064449,97460,97429,
314,314,246.0,0.9759291835407697,97492,97461,
315,315,1016.0,0.9758657501975075,97752,97721,
316,316,236.0,0.9758557476235796,97793,97762,
317,317,636.0,0.9758172020780044,97951,97920,
318,318,1143.0,0.975549376983194,99049,99018,
319,319,228.0,0.9755388898824473,99092,99061,
320,320,598.0,0.9755091363963252,99214,99183,
321,321,617.0,0.9754862121981115,99308,99277,
322,322,592.0,0.9754593866927715,99418,99387,
323,323,240.0,0.9754506075966987,99454,99423,
324,324,916.0,0.9752599256188224,100000,100205,
325,325,249.0,0.975251392130739,100000,100240,
326,326,230.0,0.9752416396643601,100000,100280,
327,327,571.0,0.9752006803705222,100000,100448,
328,328,247.0,0.9751928787953088,100000,100480,
329,329,639.0,0.975158503847892,100000,100621,
330,330,238.0,0.9751497274597527,100000,100657,
331,331,597.0,0.9751102346905826,100000,100819,
332,332,640.0,0.9750763501944335,100000,100958,
333,333,748.0,0.9746781128010692,100000,102592,
334,334,598.0,0.9746513095181599,100000,102702,
335,335,1202.0,0.9744361789605703,100000,103585,
336,336,1157.0,0.9741930874304294,100000,104583,
337,337,981.0,0.9740817922141227,100000,105040,
338,338,619.0,0.974058658043382,100000,105135,
339,339,1848.0,0.9740004597699723,100000,105374,
340,340,229.0,0.9739912068083981,100000,105412,
341,341,247.0,0.9739826844215577,100000,105447,
342,342,635.0,0.9739434824025502,100000,105608,
343,343,622.0,0.9739213254375891,100000,105699,
344,344,639.0,0.9736720334578162,100000,106723,
345,345,624.0,0.9736194565810183,100000,106939,
346,346,609.0,0.9735987673848004,100000,107024,
347,347,699.0,0.9734919207700247,100000,107463,
348,348,233.0,0.9734824292688805,100000,107502,
349,349,229.0,0.9734729378602777,100000,107541,
350,350,722.0,0.9734305927031973,100000,107715,
351,351,247.0,0.9734232920002152,100000,107745,
352,352,611.0,0.9733853292273555,100000,107901,
353,353,627.0,0.9733612382355696,100000,108000,
354,354,235.0,0.9733522346846307,100000,108037,
355,355,625.0,0.9733264411889491,100000,108143,
356,356,235.0,0.9733171946305219,100000,108181,
357,357,582.0,0.9732875089050805,100000,108303,
358,358,443.0,0.9727997707297997,100000,110308,
359,359,620.0,0.9727810445121101,100000,110385,
360,360,631.0,0.9727620754643174,100000,110463,
361,361,998.0,0.9726711264508128,100000,110837,
362,362,969.0,0.9725480913200552,100000,111343,
363,363,878.0,0.9722996369930232,100000,112365,
364,364,249.0,0.9722911294073556,100000,112400,
365,365,586.0,0.9722636625674835,100000,112513,
366,366,247.0,0.9722556414243503,100000,112546,
367,367,637.0,0.9722179672434723,100000,112701,
368,368,791.0,0.9721538029670493,100000,112965,
369,369,607.0,0.9721260969750097,100000,113079,
370,370,691.0,0.9719404385981945,100000,113843,
371,371,815.0,0.9719052063914738,100000,113988,
372,372,239.0,0.9718976741543691,100000,114019,
373,373,926.0,0.9716914107376977,100000,114868,
374,374,792.0,0.9716289815623059,100000,115125,
375,375,633.0,0.9714623614591997,100000,115811,
376,376,1263.0,0.9713297658801214,100000,116357,
377,377,249.0,0.971322966594707,100000,116385,
378,378,221.0,0.9713117964434218,100000,116431,
379,379,248.0,0.9713042688052269,100000,116462,
380,380,625.0,0.9712836288062329,100000,116547,
381,381,233.0,0.9712744016544335,100000,116585,
382,382,632.0,0.9712569188703615,100000,116657,
383,383,241.0,0.9712486632206045,100000,116691,
384,384,240.0,0.9712408932614064,100000,116723,
385,385,633.0,0.9711996163954172,100000,116893,
386,386,710.0,0.9711192529421874,100000,117224,
387,387,236.0,0.9711097845744447,100000,117263,
388,388,650.0,0.9710881776194125,100000,117352,
389,389,246.0,0.971081137254765,100000,117381,
390,390,237.0,0.9710711837228739,100000,117422,
391,391,640.0,0.9710505486768856,100000,117507,
392,392,240.0,0.9710410809790063,100000,117546,
393,393,240.0,0.9710316133734366,100000,117585,
394,394,685.0,0.9709461663404916,100000,117937,
395,395,773.0,0.9708607268265554,100000,118289,
396,396,728.0,0.9707204475693958,100000,118867,
397,397,241.0,0.970712439157736,100000,118900,
398,398,231.0,0.970703702784004,100000,118936,
399,399,1236.0,0.9705425793227961,100000,119600,
400,400,635.0,0.9705192865774916,100000,119696,
401,401,622.0,0.9704964796393856,100000,119790,
402,402,246.0,0.9704882304533352,100000,119824,
403,403,649.0,0.9703691103192889,100000,120315,
404,404,235.0,0.9703601344454085,100000,120352,
405,405,584.0,0.9703332073219232,100000,120463,
406,406,995.0,0.9702107104719457,100000,120968,
407,407,660.0,0.9701052057809006,100000,121403,
408,408,612.0,0.9700889566527573,100000,121470,
409,409,246.0,0.9700811959711757,100000,121502,
410,410,625.0,0.9700295405163651,100000,121715,
411,411,1258.0,0.9697742138167195,100000,122768,
412,412,689.0,0.9696913016556082,100000,123110,
413,413,233.0,0.9696816047898627,100000,123150,
414,414,222.0,0.9696704535141321,100000,123196,
415,415,229.0,0.969660029611481,100000,123239,
416,416,1096.0,0.969319738623066,100000,124643,
417,417,232.0,0.9693100454729326,100000,124683,
418,418,1327.0,0.9691416424618924,100000,125378,
419,419,628.0,0.9691137800367091,100000,125493,
420,420,240.0,0.9691048157745817,100000,125530,
421,421,251.0,0.9690968206918309,100000,125563,
422,422,598.0,0.969070897695355,100000,125670,
423,423,232.0,0.9690612070336189,100000,125710,
424,424,1259.0,0.9688109792576426,100000,126743,
425,425,725.0,0.968767383739027,100000,126923,
426,426,611.0,0.9687436492259044,100000,127021,
427,427,599.0,0.9687206418345701,100000,127116,
428,428,237.0,0.9687109546753753,100000,127156,
429,429,234.0,0.968702478490544,100000,127191,
430,430,973.0,0.9685663853360534,100000,127753,
431,431,723.0,0.9685300647730725,100000,127903,
432,432,675.0,0.9683663970019606,100000,128579,
433,433,613.0,0.9683465456918143,100000,128661,
434,434,941.0,0.9681853293934114,100000,129327,
435,435,999.0,0.9680986806731745,100000,129685,
436,436,722.0,0.9679520248141622,100000,130291,
437,437,717.0,0.967868784508996,100000,130635,
438,438,934.0,0.9676916807047604,100000,131367,
439,439,639.0,0.9676575701699488,100000,131508,
440,440,233.0,0.9676478936414188,100000,131548,
441,441,639.0,0.9676133008432423,100000,131691,
442,442,884.0,0.9673827944056403,100000,132644,
443,443,1206.0,0.9671878863858193,100000,133450,
444,444,222.0,0.9671770055819404,100000,133495,
445,445,233.0,0.9671680592348961,100000,133532,
446,446,952.0,0.9670140499655041,100000,134169,
447,447,1225.0,0.9668532972225232,100000,134834,
448,448,620.0,0.9668317849732925,100000,134923,
449,449,616.0,0.966807131074029,100000,135025,
450,450,901.0,0.9665978399605419,100000,135891,
451,451,585.0,0.966574641887858,100000,135987,
452,452,237.0,0.9665659427541387,100000,136023,
453,453,938.0,0.9664028484923544,100000,136698,
454,454,583.0,0.9663695081650334,100000,136836,
455,455,232.0,0.9663605692873068,100000,136873,
456,456,638.0,0.9663248146032303,100000,137021,
457,457,635.0,0.9662851960930587,100000,137185,
458,458,799.0,0.9662315687461376,100000,137407,
459,459,805.0,0.9659091427275553,100000,138742,
460,460,747.0,0.9657922747773142,100000,139226,
461,461,709.0,0.9657340875383849,100000,139467,
462,462,679.0,0.9656116884846766,100000,139974,
463,463,637.0,0.9655745131456476,100000,140128,
464,464,235.0,0.9655658230130475,100000,140164,
465,465,760.0,0.9654651680101356,100000,140581,
466,466,955.0,0.965311188576755,100000,141219,
467,467,982.0,0.9652016319605967,100000,141673,
468,468,244.0,0.965193427780566,100000,141707,
469,469,809.0,0.9651512014865236,100000,141882,
470,470,565.0,0.9651101834269675,100000,142052,
471,471,593.0,0.9650860559709569,100000,142152,
472,472,598.0,0.9650609640565581,100000,142256,
473,473,235.0,0.9650515547568514,100000,142295,
